participation_id,user_id,team,medal,abs_score,full_name,task_name,contest_id,last_submission_ts,consecutive_submission_count,time_spent_for_the_task
14,8,KOR,2,396.41,Yujin Im,walk,1,2019-08-08 08:50:36.43387,5,01:18:47.224016
14,8,KOR,2,396.41,Yujin Im,vision,1,2019-08-08 09:17:24.503523,4,00:26:48.069653
14,8,KOR,2,396.41,Yujin Im,walk,1,2019-08-08 10:02:03.927005,2,00:44:39.423482
14,8,KOR,2,396.41,Yujin Im,line,1,2019-08-08 10:31:50.886127,3,00:29:46.959122
15,9,,,,,rect,2,2019-08-06 05:12:08.471312,1,00:12:08.471312
15,9,,,,,shoes,2,2019-08-06 05:14:40.057332,1,00:02:31.58602
15,9,,,,,split,2,2019-08-06 05:34:42.760802,4,00:20:02.70347
15,9,,,,,shoes,2,2019-08-06 06:21:36.081804,7,00:46:53.321002
15,9,,,,,split,2,2019-08-06 06:49:16.801979,7,00:27:40.720175
15,9,,,,,rect,2,2019-08-06 06:56:03.453391,1,00:06:46.651412
15,9,,,,,split,2,2019-08-06 07:52:15.396496,9,00:56:11.943105
15,9,,,,,shoes,2,2019-08-06 08:09:38.981794,2,00:17:23.585298
15,9,,,,,rect,2,2019-08-06 08:25:57.7112,2,00:16:18.729406
15,9,,,,,split,2,2019-08-06 09:36:35.727361,4,01:10:38.016161
16,9,,,,,line,1,2019-08-08 05:48:55.354909,1,00:28:55.354909
16,9,,,,,vision,1,2019-08-08 06:39:02.141103,3,00:50:06.786194
16,9,,,,,walk,1,2019-08-08 06:58:20.534786,1,00:19:18.393683
16,9,,,,,line,1,2019-08-08 07:17:27.375277,3,00:19:06.840491
16,9,,,,,vision,1,2019-08-08 07:20:08.368876,1,00:02:40.993599
16,9,,,,,walk,1,2019-08-08 07:29:38.242557,2,00:09:29.873681
16,9,,,,,vision,1,2019-08-08 07:39:09.732132,1,00:09:31.489575
16,9,,,,,walk,1,2019-08-08 07:41:59.621673,1,00:02:49.889541
16,9,,,,,line,1,2019-08-08 08:21:56.197439,9,00:39:56.575766
16,9,,,,,walk,1,2019-08-08 08:24:07.358313,1,00:02:11.160874
16,9,,,,,line,1,2019-08-08 09:20:41.979003,10,00:56:34.62069
16,9,,,,,walk,1,2019-08-08 09:42:37.631138,4,00:21:55.652135
16,9,,,,,line,1,2019-08-08 10:32:49.15071,11,00:50:11.519572
17,10,,,,,shoes,2,2019-08-06 05:39:40.752867,2,00:39:40.752867
17,10,,,,,split,2,2019-08-06 07:21:49.324635,6,01:42:08.571768
17,10,,,,,rect,2,2019-08-06 07:54:31.676566,1,00:32:42.351931
17,10,,,,,shoes,2,2019-08-06 09:50:02.307712,4,01:55:30.631146
20,10,,,,,line,1,2019-08-08 06:58:15.015561,5,01:38:15.015561
20,10,,,,,vision,1,2019-08-08 08:35:21.22035,5,01:37:06.204789
20,10,,,,,line,1,2019-08-08 10:10:45.354812,5,01:35:24.134462
18,11,,,,,shoes,2,2019-08-06 06:18:34.627085,2,01:18:34.627085
18,11,,,,,split,2,2019-08-06 07:25:13.275992,6,01:06:38.648907
18,11,,,,,rect,2,2019-08-06 07:57:13.077289,2,00:31:59.801297
18,11,,,,,shoes,2,2019-08-06 09:26:27.734883,5,01:29:14.657594
21,11,,,,,line,1,2019-08-08 07:22:10.602148,3,02:02:10.602148
21,11,,,,,vision,1,2019-08-08 09:45:01.803965,5,02:22:51.201817
21,11,,,,,walk,1,2019-08-08 10:24:35.638489,3,00:39:33.834524
19,12,,,,,shoes,2,2019-08-06 06:26:46.226067,4,01:26:46.226067
19,12,,,,,rect,2,2019-08-06 08:00:02.169281,4,01:33:15.943214
19,12,,,,,split,2,2019-08-06 09:23:27.775806,9,01:23:25.606525
19,12,,,,,shoes,2,2019-08-06 09:58:26.258065,2,00:34:58.482259
22,12,,,,,line,1,2019-08-08 06:23:09.562655,3,01:03:09.562655
22,12,,,,,vision,1,2019-08-08 08:30:31.733646,9,02:07:22.170991
22,12,,,,,walk,1,2019-08-08 09:44:37.674667,4,01:14:05.941021
22,12,,,,,vision,1,2019-08-08 09:55:11.692246,2,00:10:34.017579
